review,studyid,country,yearsofstudy,studydesign,studysize,studyquality,studypopulation,eligiblitycriteria,exposure,comparatorgroup,casedefinition,casedefinitiontype,outcomeassessment,methodoffollowuporrecall,durationoffollowuporrecall,incidenceorprevalence,exposureanalysis,healthoutcomecategory,outcomereportedbypaper,exposuredefinition,numberexposed,numberofunexposed,percentageexposedcases,percentageunexposedcases,numberofexposedcases,numberofunexposedcaes,numberofexposednoncases,numberofunexposednoncases,or,lor,uor,cor,corlower95ci,corupper95ci,aor,aorlower95ci,aorupper95ci,OR_source,symptom,region,rct,logOR,logOR_L,logOR_U,logORse,query
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer body immersion,Non-swimmer,3 or more loose stools in 24h,Single,Self-reported,Telephone interview,10 days,Incidence,any,Enteric,Diarrhoea,Body immersion,2502,1851,,4.21,123,78,2379,1773,1.139999986,0.800000012,1.610000014,,,,1.139999986,0.800000012,1.610000014,,Diarrhoea,North America,No,0.13102825,-0.223143533,0.476234198,0.178412691,"where did the original, very precise adjusted ORs come from? I can get them to 2dp from the papers but assume the original ones must've been recalculated from re-run models or the authors provided more detailed data?"
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,3 or more loose stools in 24h,Single,Self-reported,Telephone interview,10 days,Incidence,head,Enteric,Diarrhoea,Head immersion,1805,1851,,4.21,84,78,1721,1773,1.090000033,0.75,1.580000043,,,,1.090000033,0.75,1.580000043,,Diarrhoea,North America,No,0.086177729,-0.287682086,0.457424879,0.190078303,"where did the original, very precise adjusted ORs come from? I can get them to 2dp from the papers but assume the original ones must've been recalculated from re-run models or the authors provided more detailed data?"
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,3 or more loose stools in 24h,Single,Self-reported,Telephone interview,10 days,Incidence,swallowed,Enteric,Diarrhoea,Swallowed,551,1851,,4.21,,,,,,,,,,,1.25,0.77,2.03,Electronic Appendix: eTable 2,Diarrhoea,North America,No,,,,,
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,"Diarrhoea, vomiting, nausea, and stomach cramps; nausea and missed daily activities due to gastrointestinal illness; or stomach cramps and missed daily activities due to gastrointestinal illness",Multi-symptom,Self-reported,Telephone interview,10 days,Incidence,any,Enteric,Gastrointestinal illness,Body immersion,2502,1851,,5.89,184,109,2318,1742,1.139999986,0.850000024,1.539999962,,,,1.139999986,0.850000024,1.539999962,,Gastrointestinal infection (case definition requires at least one of a list of symptoms),North America,No,0.13102825,-0.162518904,0.431782395,0.151607469,"where did the original, very precise adjusted ORs come from? I can get them to 2dp from the papers but assume the original ones must've been recalculated from re-run models or the authors provided more detailed data?"
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,"Diarrhoea, vomiting, nausea, and stomach cramps; nausea and missed daily activities due to gastrointestinal illness; or stomach cramps and missed daily activities due to gastrointestinal illness",Multi-symptom,Self-reported,Telephone interview,10 days,Incidence,head,Enteric,Gastrointestinal illness,Head immersion,1805,1851,,5.89,129,109,1676,1742,1.139999986,0.829999983,1.559999943,,,,1.139999986,0.829999983,1.559999943,,Gastrointestinal infection (case definition requires at least one of a list of symptoms),North America,No,0.13102825,-0.186329603,0.444685787,0.16097331,"where did the original, very precise adjusted ORs come from? I can get them to 2dp from the papers but assume the original ones must've been recalculated from re-run models or the authors provided more detailed data?"
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,"Diarrhoea, vomiting, nausea, and stomach cramps; nausea and missed daily activities due to gastrointestinal illness; or stomach cramps and missed daily activities due to gastrointestinal illness",Multi-symptom,Self-reported,Telephone interview,10 days,Incidence,swallowed,Enteric,Gastrointestinal illness,Swallowed,551,1851,,5.89,,,,,,,,,,,1.31,0.89,1.94,Electronic Appendix: eTable 2,Gastrointestinal infection (case definition requires at least one of a list of symptoms),North America,No,,,,,
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,Not reported,Single,Self-reported,Telephone interview,10 days,Incidence,any,Enteric,Nausea,Body immersion,2502,1851,,2.65,69,49,2433,1802,1.159999967,0.75,1.799999952,,,,1.159999967,0.75,1.799999952,,Nausea,North America,No,0.148419976,-0.287682086,0.587786615,0.223333851,"where did the original, very precise adjusted ORs come from? I can get them to 2dp from the papers but assume the original ones must've been recalculated from re-run models or the authors provided more detailed data?"
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,Not reported,Single,Self-reported,Telephone interview,10 days,Incidence,head,Enteric,Nausea,Swimmer head immersion,1805,1851,,2.65,56,49,1749,1802,1.389999986,0.879999995,2.170000076,,,,1.389999986,0.879999995,2.170000076,,Nausea,North America,No,0.329303741,-0.127833381,0.774727225,0.230245054,"where did the original, very precise adjusted ORs come from? I can get them to 2dp from the papers but assume the original ones must've been recalculated from re-run models or the authors provided more detailed data?"
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,Not reported,Single,Self-reported,Telephone interview,10 days,Incidence,swallowed,Enteric,Nausea,Swallowed,551,1851,,2.65,,,,,,,,,,,1.35,0.74,2.45,Electronic Appendix: eTable 2,Nausea,North America,No,,,,,
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,Not reported,Single,Self-reported,Telephone interview,10 days,Incidence,any,Enteric,Cramps,Body immersion,2502,1851,,4.27,138,79,2364,1772,1.169999957,0.850000024,1.620000005,,,,1.169999957,0.850000024,1.620000005,,Stomach ache,North America,No,0.157003716,-0.162518904,0.482426167,0.164526805,"where did the original, very precise adjusted ORs come from? I can get them to 2dp from the papers but assume the original ones must've been recalculated from re-run models or the authors provided more detailed data?"
